"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 04 18:24:58 IST 2024","Sun Feb 04 18:24:59 IST 2024","1767","test_cases","test_web","Test_web","","","Test04: Filtering Users","this test filters users"
"broken","Tue Mar 19 13:48:07 IST 2024","Tue Mar 19 13:48:07 IST 2024","0","test_cases","test_desktop","Test_Desktop","","","Test02: Arithmetic Actions","This test does some arithmetic actions and verifies it"
"failed","Tue Mar 12 14:42:00 IST 2024","Tue Mar 12 14:42:03 IST 2024","3353","","","","","","Test01: Adding 2 numbers","This test adds 2 numbers and verify the result"
"failed","Thu Mar 07 14:41:56 IST 2024","Thu Mar 07 14:41:58 IST 2024","2038","","","","","","Test01: Adding 2 numbers","This test adds 2 numbers and verify the result"
"failed","Sun Feb 11 16:44:20 IST 2024","Sun Feb 11 16:44:26 IST 2024","5899","","","","","","Test01: Adding 2 numbers","This test adds 2 numbers and verify the result"
"failed","Fri Mar 01 12:22:20 IST 2024","Fri Mar 01 12:22:22 IST 2024","2096","","","","","","Test01: Adding 2 numbers","This test adds 2 numbers and verify the result"
"failed","Sun Feb 25 14:41:55 IST 2024","Sun Feb 25 14:42:01 IST 2024","6680","","","","","","Test02: Arithmetic Actions","This test does some arithmetic actions and verifies it"
"passed","Sun Feb 04 18:25:00 IST 2024","Sun Feb 04 18:25:01 IST 2024","1055","test_cases","test_web","Test_web","","","Test04: Filtering Users","this test filters users"
"passed","Tue Mar 19 13:47:42 IST 2024","Tue Mar 19 13:47:42 IST 2024","28","test_cases","test_api","Test_API","","","Test02: Verify Team Name","this test verifies the grafana team member name"
"failed","Sun Mar 10 12:57:10 IST 2024","Sun Mar 10 12:57:18 IST 2024","8884","","","","","","Test02: Arithmetic Actions","This test does some arithmetic actions and verifies it"
"failed","Sun Mar 17 14:42:02 IST 2024","Sun Mar 17 14:42:04 IST 2024","2310","","","","","","Test01: Adding 2 numbers","This test adds 2 numbers and verify the result"
"passed","Sun Feb 04 18:24:56 IST 2024","Sun Feb 04 18:24:57 IST 2024","1617","test_cases","test_web","Test_web","","","Test04: Filtering Users","this test filters users"
"passed","Sun Feb 04 18:24:52 IST 2024","Sun Feb 04 18:24:52 IST 2024","233","test_cases","test_web","Test_web","","","Test02: Verify Upper Menu Buttons","this test verifies upper menu buttons are displayed"
"failed","Sun Feb 18 16:48:54 IST 2024","Sun Feb 18 16:48:56 IST 2024","2759","","","","","","Test01: Adding 2 numbers","This test adds 2 numbers and verify the result"
"broken","Tue Mar 19 13:48:00 IST 2024","Tue Mar 19 13:48:00 IST 2024","0","test_cases","test_mobile","Test_Mobile","","","Test01: Verify Mortgage Repayment","this test verifies the mortgage repayment"
"passed","Sun Feb 04 18:24:50 IST 2024","Sun Feb 04 18:24:51 IST 2024","1508","test_cases","test_web","Test_web","","","Test01: Verify Login Grafana","this test verifies a successful Login to Grafana"
"passed","Tue Mar 19 13:47:42 IST 2024","Tue Mar 19 13:47:43 IST 2024","28","test_cases","test_api","Test_API","","","Test04: Update Team Name","this test verefies team member name"
"broken","Tue Mar 19 13:47:42 IST 2024","Tue Mar 19 13:47:42 IST 2024","0","test_cases","test_desktop","Test_Desktop","","","Test01: Adding 2 numbers","This test adds 2 numbers and verify the result"
"failed","Sat Mar 09 00:52:19 IST 2024","Sat Mar 09 00:52:22 IST 2024","3511","","","","","","Test01: Adding 2 numbers","This test adds 2 numbers and verify the result"
"passed","Sun Feb 04 18:24:53 IST 2024","Sun Feb 04 18:24:55 IST 2024","2613","test_cases","test_web","Test_web","","","Test03: Verify New User","this test creates and verifies a new user"
"failed","Mon Mar 04 14:41:54 IST 2024","Mon Mar 04 14:41:57 IST 2024","2584","","","","","","Test01: Adding 2 numbers","This test adds 2 numbers and verify the result"
"passed","Tue Mar 19 13:47:42 IST 2024","Tue Mar 19 13:47:42 IST 2024","54","test_cases","test_api","Test_API","","","Test01: Create Team & Verify Status Code","this test creates new team in grafana"
"broken","Tue Mar 19 13:48:18 IST 2024","Tue Mar 19 13:48:18 IST 2024","0","test_cases","test_mobile","Test_Mobile","","","Test02: Verify Save Details","this test verifies save transaction details"
"failed","Sun Mar 10 14:42:01 IST 2024","Sun Mar 10 14:42:04 IST 2024","3035","","","","","","Test01: Adding 2 numbers","This test adds 2 numbers and verify the result"
"failed","Sun Feb 11 16:45:26 IST 2024","Sun Feb 11 16:45:30 IST 2024","3265","","","","","","Test01: Adding 2 numbers","This test adds 2 numbers and verify the result"
"passed","Sun Feb 04 18:25:02 IST 2024","Sun Feb 04 18:25:03 IST 2024","1744","test_cases","test_web","Test_web","","","Test05: Delete User","this test verifies deleted users"
"passed","Tue Mar 19 13:47:42 IST 2024","Tue Mar 19 13:47:42 IST 2024","48","test_cases","test_api","Test_API","","","Test03: Update Team & Verify Status Code","this test update team & verify status code"
"passed","Tue Mar 19 13:47:43 IST 2024","Tue Mar 19 13:47:43 IST 2024","50","test_cases","test_api","Test_API","","","Test05: Delete Team & Verify Status Code","this test delete team and verify status code"
"failed","Sun Mar 17 13:27:36 IST 2024","Sun Mar 17 13:27:41 IST 2024","4944","","","","","","Test01: Adding 2 numbers","This test adds 2 numbers and verify the result"
